,experiment,scenario,mean_f1_score,sd_f1_score,mean_auc,sd_auc,mean_precision,sd_precision,mean_recall,sd_recall
0,ae,scenario1_plus,0.7271020378594812,0.016137999259040702,0.9988869444444445,0.000631132323098139,0.5714706995968731,0.019945457619114513,1.0,0.0
1,ae,scenario3_moins,0.24170188785573402,0.11434519968920841,0.9949646464646464,0.0017678282763353536,0.34500000000000003,0.27208556660645483,0.10500000000000001,0.10712142642814276
2,ae,scenario3_plus,0.7328532306884165,0.016922900266218094,0.9980374999999999,0.0006295939191942584,0.578632628852622,0.021230299209942616,1.0,0.0
3,ae,scenario1_moins,0.21041406306112187,0.09446683024628055,0.9922474747474748,0.002066915721043834,0.2777380952380953,0.19599197511222244,0.11500000000000002,0.09630680142129111
4,ae,scenario_cars_plus,0.27263088595304963,0.03818186786673682,0.6234122222222223,0.044229957712609874,0.2558118391525822,0.03352149526642615,0.29300000000000004,0.04659399102888698
5,ae,scenario4_plus,0.6702487064240406,0.014626272024085696,0.9845130555555557,0.00538397378227933,0.5105775369898777,0.016426253507622186,0.976,0.013928388277184131
6,ae,scenario3_egal,0.8306051913156096,0.04424787868761966,0.9958715789473684,0.0013787770083596208,0.8251261387615123,0.03795715633837191,0.8380000000000001,0.06289674077406555
7,ae,scenario2_plus,0.7275178801378257,0.016095979311589903,0.9974027777777777,0.0006267530968766626,0.5721471484862264,0.020107607343494916,0.9995,0.0021794494717703385
8,ae,scenario4_egal,0.5096247424572735,0.06651274537358098,0.9420010526315791,0.018925751382018085,0.4827592109588393,0.056705091488763765,0.542,0.08623224454924039
9,ae,scenario_cars_egal,0.21529887024897834,0.06665008430059612,0.6402578947368421,0.050261426644199504,0.21788780424019785,0.06523486316454502,0.215,0.07151922818375489
10,ae,scenario2_moins,0.2138125763125763,0.09890964718894864,0.9909570707070708,0.002911276667286408,0.25916666666666666,0.2330042321980917,0.09000000000000001,0.09949874371066199
11,ae,scenario_cars_moins,0.20058255870949368,0.08733401252090155,0.6533156565656566,0.0950449287684167,0.12178571428571427,0.15189602797037557,0.07500000000000001,0.09937303457175894
12,ae,scenario5_plus,0.6739089085246964,0.019272461339117336,0.9912686111111112,0.004472364136809777,0.5115908263080422,0.020935545855362166,0.9879999999999998,0.011224972160321834
13,ae,scenario1_egal,0.8184171871258051,0.05097086793174194,0.9951810526315787,0.0016925667701653648,0.8261289675630377,0.048958388088760636,0.8130000000000001,0.06790434448545983
14,ae,scenario6_egal,0.5655740336241538,0.052552741367890655,0.8634036842105262,0.042532424427733154,0.5431035066646241,0.03392477356865563,0.5929999999999999,0.08081460264085939
15,ae,scenario2_egal,0.8100907610674579,0.006128516695909024,0.9933590999999998,0.0023553963127253066,0.6808451585840946,0.008678262126172199,1.0,0.0
16,ae,scenario6_plus,0.60820524325557,0.02260334062103173,0.9069802777777778,0.025437471356188603,0.4720674117957552,0.01784344868100575,0.8549999999999999,0.03485685011586677
17,ae,scenario5_egal,0.6089607531715546,0.04946774063877069,0.9698857894736843,0.007521796416391498,0.5899870950807115,0.046331028878677065,0.6319999999999999,0.0661513416341649
18,da_vae,scenario1_plus,0.712452999921676,0.022128565399815125,0.9939538888888888,0.002561150939675853,0.5551522255674426,0.026518213714953533,0.9954999999999998,0.007399324293474377
19,da_vae,scenario3_moins,0.24052851909994763,0.0965990398568,0.9924469696969698,0.004689346344193685,0.38666666666666666,0.27287563304756823,0.11000000000000001,0.09433981132056604
20,da_vae,scenario3_plus,0.7159495143297481,0.014972553359940266,0.9948888888888889,0.002401218826315497,0.559191629876904,0.01773018906398799,0.9955,0.0097339611669659
21,da_vae,scenario1_moins,0.17645815722738797,0.04028244791383658,0.9873661616161616,0.007474973976229744,0.2708333333333333,0.21225476044916716,0.07500000000000002,0.06224949798994367
22,da_vae,scenario_cars_plus,0.5744121472073227,0.036190231725063346,0.9201441666666665,0.01922801313501657,0.44918782596909834,0.029629367009973526,0.798,0.0581033561853358
23,da_vae,scenario4_plus,0.5367691594133721,0.08240605963392722,0.9150269444444445,0.04053437023813065,0.4243615851085508,0.05710791040056512,0.7329999999999999,0.13718964975536602
24,da_vae,scenario3_egal,0.8058810450320738,0.05466601089972256,0.991292105263158,0.006521401269300664,0.828830355152461,0.05941086043135261,0.7859999999999999,0.06359245238233859
25,da_vae,scenario2_plus,0.7107695513129851,0.0249780966669193,0.9911491666666669,0.007117923879540896,0.5562366958419988,0.024602470752441805,0.985,0.027477263328068175
26,da_vae,scenario4_egal,0.39154032453308457,0.11327457490376908,0.9013552631578948,0.04166122224633083,0.37493677354166194,0.10846996175747083,0.41200000000000003,0.12335315156087419
27,da_vae,scenario_cars_egal,0.535811710515199,0.05419985703967844,0.9231394736842103,0.01800422353496404,0.5037962068313463,0.057182950066901835,0.5759999999999998,0.06529931086925803
28,da_vae,scenario2_moins,0.22213299520991825,0.0983576127159524,0.9817752525252524,0.021016566573872717,0.2816666666666666,0.24266460621835872,0.1,0.09486832980505139
29,da_vae,scenario_cars_moins,0.22547504578754576,0.0999919397816896,0.9354141414141413,0.042206664887943536,0.4,0.2306392083849675,0.12,0.09273618495495704
30,da_vae,scenario5_plus,0.5829874851445469,0.06504099910998877,0.9357466666666667,0.028173150984931675,0.45157609213389494,0.04956285086034705,0.8240000000000001,0.10180373274099529
31,da_vae,scenario1_egal,0.7909233949805919,0.04558546187891189,0.9935452631578947,0.0024150717888196,0.8091136615059566,0.056551936901040274,0.778,0.06630233781700309
32,da_vae,scenario6_egal,0.46000745000738075,0.11361086003013815,0.9214089473684212,0.03566347297987329,0.4433948555003001,0.11341554963997967,0.48100000000000004,0.11991246807567592
33,da_vae,scenario2_egal,0.8101105019330712,0.006186816637298013,0.9880289,0.0069901252771320255,0.6810124569625045,0.008718062366047621,0.9997,0.0009539392014169465
34,da_vae,scenario6_plus,0.5822390879912429,0.05309832506150905,0.9326283333333333,0.028186742346993608,0.45632232519266863,0.03620257837072657,0.8065000000000001,0.0970193279712862
35,da_vae,scenario5_egal,0.37721014220691207,0.10580540346675159,0.8708410526315792,0.12163962126501317,0.358320825841629,0.10373546907341155,0.40099999999999997,0.1117989266495882
