,timestamp,precision,recall,f1_score,average_precision,auc
0,2020-08-12 15:53:11,0.5469613259668509,0.99,0.7046263345195729,0.9188485863111115,0.99305
1,2020-08-12 16:08:18,0.6086956521739131,0.98,0.7509578544061303,0.9074915378522944,0.9886333333333334
2,2020-08-12 16:22:34,0.6149068322981367,0.99,0.7586206896551725,0.9212439724646012,0.9880722222222222
3,2020-08-12 16:36:16,0.5798816568047337,0.98,0.7286245353159853,0.903619157593902,0.9915722222222224
4,2020-08-12 16:49:57,0.5818181818181818,0.96,0.7245283018867924,0.9002113185302766,0.98825
5,2020-08-12 17:03:22,0.5657142857142857,0.99,0.72,0.9389997961723572,0.9936333333333334
6,2020-08-12 17:17:37,0.5617977528089888,1.0,0.7194244604316548,0.9227559051611074,0.993
7,2020-08-12 17:31:35,0.5730994152046783,0.98,0.7232472324723247,0.9247836809539468,0.9904555555555556
8,2020-08-12 17:45:25,0.6012269938650306,0.98,0.7452471482889732,0.930734149728306,0.9931833333333332
9,2020-08-12 17:59:51,0.592814371257485,0.99,0.7415730337078651,0.9413798236626443,0.9915166666666666
