,timestamp,precision,recall,f1_score,average_precision,auc
0,2020-08-12 17:03:25,0.4088050314465409,0.65,0.5019305019305019,0.5348874278158129,0.8705166666666666
1,2020-08-12 17:21:48,0.3694267515923567,0.58,0.4513618677042801,0.461031279944375,0.8181444444444443
2,2020-08-12 17:40:12,0.4117647058823529,0.7,0.5185185185185185,0.6287263621135634,0.8816166666666667
3,2020-08-12 17:58:31,0.34810126582278483,0.55,0.4263565891472868,0.4902756614197115,0.8089333333333333
4,2020-08-12 18:16:42,0.4790419161676647,0.8,0.599250936329588,0.6971934843514787,0.9203055555555556
5,2020-08-12 18:34:53,0.4651162790697674,0.8,0.5882352941176471,0.6861318100803849,0.9157944444444444
6,2020-08-12 18:53:05,0.4754098360655738,0.87,0.6148409893992932,0.7585350327352584,0.9467888888888888
7,2020-08-12 19:11:18,0.45,0.81,0.5785714285714286,0.6997507093264064,0.9296833333333332
8,2020-08-12 19:29:29,0.4235294117647059,0.72,0.5333333333333333,0.647990338221415,0.8819999999999999
9,2020-08-12 19:47:46,0.4260355029585799,0.72,0.5353159851301116,0.6204823391354921,0.897588888888889
