,timestamp,precision,recall,f1_score,average_precision,auc
9,2020-08-05 15:53:28,0.6060606060606061,1.0,0.7547169811320755,0.9788655877644551,0.9978722222222223
10,2020-08-05 16:20:01,0.6060606060606061,1.0,0.7547169811320755,0.9855429209456512,0.9985611111111112
11,2020-08-05 16:26:03,0.6060606060606061,1.0,0.7547169811320755,0.9769704502524942,0.9977
12,2020-08-05 16:52:19,0.5847953216374269,1.0,0.7380073800738007,0.9806809347078962,0.9980666666666667
13,2020-08-05 17:18:15,0.5882352941176471,1.0,0.7407407407407407,0.9695809941129676,0.9971333333333333
14,2020-08-05 17:44:18,0.591715976331361,1.0,0.7434944237918216,0.96601154002758,0.9969666666666667
15,2020-08-05 18:10:26,0.5952380952380952,1.0,0.7462686567164178,0.9769874367275135,0.9977222222222222
16,2020-08-05 18:36:43,0.6024096385542169,1.0,0.7518796992481204,0.9827769134066427,0.998288888888889
17,2020-08-05 19:02:53,0.5952380952380952,1.0,0.7462686567164178,0.9656152536972177,0.9969888888888888
18,2020-08-05 19:28:50,0.5952380952380952,1.0,0.7462686567164178,0.9714492949470553,0.99745
