,experiment,scenario,mean_f1_score,sd_f1_score,mean_auc,sd_auc,mean_precision,sd_precision,mean_recall,sd_recall
0,kpca,scenario1_plus,0.8571428571428572,0.05294704700846552,0.9912890625,0.006678678734624056,0.8518518518518517,0.0526202133849565,0.8625000000000002,0.05327796605226845
1,kpca,scenario3_moins,0.5470588235294118,0.10034542417195284,0.9930318813131314,0.00405906452524957,0.5166666666666666,0.09477067838462212,0.58125,0.1066170131826999
2,kpca,scenario3_plus,0.8683229813664596,0.019602153836098726,0.992578125,0.0014479468505380153,0.8629629629629629,0.019481152886493214,0.87375,0.01972466729757436
3,kpca,scenario1_moins,0.4352941176470588,0.1346532134383482,0.9895438762626261,0.0044118228038678,0.41111111111111115,0.12717247935843998,0.4625,0.14306903927824496
4,kpca,scenario4_plus,0.5374741200828157,0.03408549172216425,0.9195312500000001,0.010320448754155038,0.534156378600823,0.03387508745227438,0.5408333333333334,0.0342985260454278
5,kpca,scenario3_egal,0.780246913580247,0.05487928585405646,0.991825657894737,0.003204553533386178,0.7707317073170732,0.05421002627047041,0.7900000000000001,0.05556527692723217
6,kpca,scenario5_moins,0.1411764705882353,0.08803899733585743,0.87332702020202,0.03637893646012901,0.13333333333333333,0.08314794192830981,0.15,0.09354143466934854
7,kpca,scenario2_plus,0.8717573986116186,0.030498555724821633,0.9926378676470589,0.0021365536005429247,0.8663761801016703,0.030310293035162254,0.8772058823529412,0.03068917169810177
8,kpca,scenario4_moins,0.07647058823529411,0.07692174606248246,0.8296953914141414,0.05373788759929338,0.07222222222222222,0.0726483157256779,0.08125,0.08172935519138763
9,kpca,scenario4_egal,0.33703703703703697,0.055363178579700405,0.8982072368421052,0.011536051017495311,0.33292682926829276,0.05468801786531382,0.34125,0.05605521831194667
10,kpca,scenario6_moins,0.15294117647058825,0.12941176470588237,0.8575126262626263,0.0410657121092952,0.14444444444444446,0.12222222222222223,0.1625,0.1375
11,kpca,scenario2_moins,0.4352941176470588,0.10588235294117648,0.9870107323232326,0.0049463746429153415,0.4111111111111111,0.10000000000000002,0.4625,0.1125
12,kpca,scenario5_plus,0.5962732919254659,0.04181989622510178,0.9341232638888889,0.01365379830834337,0.5925925925925927,0.04156174871753939,0.6,0.04208127057650864
13,kpca,scenario1_egal,0.771604938271605,0.03567452660938243,0.9908717105263157,0.0013705899120684691,0.7621951219512195,0.035239471406829016,0.7812499999999998,0.03612045819199972
14,kpca,scenario6_egal,0.4049382716049383,0.04011870817104175,0.8990230263157896,0.015408693558217475,0.4,0.039629455632370504,0.41000000000000003,0.040620192023179805
15,kpca,scenario2_egal,0.9595505617977528,0.007110627149012814,0.98879125,0.0041085155470072165,0.958354114713217,0.007101761030373179,0.96075,0.007119515432949077
16,kpca,scenario6_plus,0.5358178053830227,0.043946995151707136,0.9100787037037037,0.01413661719013492,0.5325102880658437,0.043675717403857124,0.5391666666666667,0.044221663871405324
17,kpca,scenario5_egal,0.3851851851851852,0.07087753133040652,0.9023371710526316,0.02261448796931056,0.38048780487804884,0.07001317119223084,0.38999999999999996,0.07176350047203663
18,vae_isof,scenario1_plus,0.6997562797598903,0.020481145934589915,0.9856525000000002,0.008521437649493039,0.5446054774971644,0.020512011460328713,0.9795,0.027834331319433556
19,vae_isof,scenario3_moins,0.2615384615384615,0.13381950569876686,0.9762247474747475,0.01694756308894015,0.2625,0.2890057188976639,0.09,0.11789826122551596
20,vae_isof,scenario3_plus,0.694898247448794,0.022900146133328574,0.9854444444444445,0.007925960821141548,0.5396462288231378,0.025256778166596477,0.977,0.023043437243605833
21,vae_isof,scenario1_moins,0.2311822164763341,0.07864636165757788,0.9688207070707072,0.03119900706403091,0.27976190476190477,0.25484255510247195,0.095,0.09205976319760985
22,vae_isof,scenario_cars_plus,0.5030533562977082,0.05482105667413394,0.810928947368421,0.04489581628191776,0.4373605152715922,0.04382141163486902,0.5936842105263158,0.07815036291903404
23,vae_isof,scenario4_plus,0.38153429247171633,0.10895214076582957,0.8334058333333333,0.057737178296474505,0.3205488193230517,0.08332619177878745,0.4755,0.15894889115687472
24,vae_isof,scenario3_egal,0.6829604345361205,0.09404186774231783,0.9796552631578948,0.011001356186858895,0.7015380473957762,0.08875713547316753,0.6709999999999999,0.1156676272774712
25,vae_isof,scenario5_moins,0.11285714285714285,0.02508940928060856,0.7939196654040405,0.0605028215913385,0.02780448717948718,0.05332054932998546,0.03125,0.05412658773652741
26,vae_isof,scenario2_plus,0.6997740339204157,0.03282966164121568,0.9811730555555555,0.008881744920007241,0.5504616385203799,0.03605727763042508,0.9625,0.030639027399707048
27,vae_isof,scenario4_moins,0.13718020541549955,0.02803997277765078,0.7543166035353536,0.07783043010122645,0.03253357753357753,0.057298329492903345,0.0375,0.06959705453537526
