,timestamp,precision,recall,f1_score,average_precision,auc
0,timestamp,precision,recall,f1_score,average_precision,auc
1,timestamp,precision,recall,f1_score,average_precision,auc
2,timestamp,precision,recall,f1_score,average_precision,auc
3,timestamp,precision,recall,f1_score,average_precision,auc
4,timestamp,precision,recall,f1_score,average_precision,auc
5,timestamp,precision,recall,f1_score,average_precision,auc
6,timestamp,precision,recall,f1_score,average_precision,auc
7,timestamp,precision,recall,f1_score,average_precision,auc
8,2020-08-05 16:18:11,0.11764705882352941,0.12,0.1188118811881188,0.09762889413765447,0.43006666666666665
9,2020-08-05 16:50:41,0.125,0.13,0.12745098039215685,0.09805191542286396,0.43152777777777773
10,2020-08-05 17:16:26,0.125,0.13,0.12745098039215685,0.09982955128976276,0.43505555555555553
11,2020-08-05 17:42:32,0.12745098039215685,0.13,0.12871287128712872,0.0969527512447397,0.43087222222222216
12,2020-08-05 18:08:34,0.1,0.1,0.10000000000000002,0.09426236722015138,0.42508888888888885
13,2020-08-05 18:34:47,0.1188118811881188,0.12,0.11940298507462686,0.09741776811262061,0.4280722222222222
14,2020-08-05 19:01:10,0.10101010101010101,0.1,0.10050251256281408,0.09681092551705653,0.42757222222222224
15,2020-08-05 19:27:04,0.10784313725490197,0.11,0.10891089108910892,0.09719991005093025,0.42938333333333334
16,2020-08-05 19:53:23,0.10784313725490197,0.11,0.10891089108910892,0.09697191196451464,0.4266388888888889
