,experiment,scenario,mean_f1_score,sd_f1_score,mean_auc,sd_auc,mean_precision,sd_precision,mean_recall,sd_recall
0,kpca,scenario1_plus,0.6965845189704156,0.013365085383652723,0.9939726562500001,0.0030379591612765245,0.5353136931757476,0.015770007784098684,0.9974999999999999,0.004999999999999982
1,kpca,scenario3_moins,0.20666666666666664,0.19835164008697106,0.993130523989899,0.005200883472368282,0.5833333333333333,0.4816061092266629,0.13125,0.13390178303517844
2,kpca,scenario3_plus,0.6916343778037997,0.021403198346868005,0.9930629340277779,0.003004085913689929,0.5307828636034079,0.024631950116814513,0.99375,0.008385254915624207
3,kpca,scenario1_moins,0.2975213675213676,0.19038943267299266,0.9913510101010102,0.006127793600260575,0.6883333333333332,0.38427782195235316,0.2,0.13919410907075055
4,kpca,scenario4_plus,0.5897894006374111,0.059264470971723694,0.9424648437500001,0.024717062799658504,0.45478086099244075,0.047751225328104656,0.840625,0.08531879555525852
5,kpca,scenario3_egal,0.8428690937254869,0.04780042568163481,0.9934868421052631,0.004228563724082797,0.8208101931394987,0.05625031944803823,0.8725000000000002,0.07862092596758193
6,kpca,scenario5_moins,0.0768215994531784,0.11861217781287516,0.8925741792929293,0.04483025554839358,0.1104978354978355,0.18799106281790612,0.0625,0.09270248108869579
7,kpca,scenario2_plus,0.6978138247583222,0.019986254956769586,0.9929292534722223,0.004471469918548265,0.5381349266213581,0.024233819159924952,0.99375,0.010077822185373179
8,kpca,scenario4_moins,0.10874525758039691,0.12932652690422844,0.8927793560606061,0.03463955181569914,0.13463023088023088,0.18166509281852425,0.1,0.1159202311936963
9,kpca,scenario4_egal,0.3189219779166925,0.08404641187346809,0.9029588815789475,0.02691277718178213,0.2757725504892867,0.07804713953362748,0.38125000000000003,0.09613629647536877
10,kpca,scenario6_moins,0.09290926179084073,0.11241080193487955,0.8656999684343433,0.059301718358349124,0.11793831168831168,0.14472154237970483,0.08125,0.09901862198596786
11,kpca,scenario2_moins,0.15898989898989901,0.12684890150039116,0.9878038194444443,0.005318688728856442,0.4999999999999999,0.42491829279939874,0.1,0.08477912478906587
12,kpca,scenario5_plus,0.5943014411845688,0.05285693667122994,0.9480017361111109,0.0214741453971223,0.4515087069655321,0.03911771705498397,0.8712500000000001,0.09126712168135905
13,kpca,scenario1_egal,0.8153111862202798,0.0720787777834112,0.993356907894737,0.00394289048366431,0.7791070339844085,0.0791826459011308,0.85875,0.08264192338032797
14,kpca,scenario6_egal,0.37412791412600493,0.07384140958388136,0.9001981907894736,0.03067889212188579,0.3311494422169973,0.06506532908742169,0.43500000000000005,0.10012492197250393
15,kpca,scenario2_egal,0.8133141890111345,0.009023014954893658,0.9916432812500002,0.0031651925104059127,0.6854639760707124,0.012877192328938558,1.0,0.0
16,kpca,scenario6_plus,0.5525849565435691,0.03138415018591152,0.9294778645833333,0.015022135228564135,0.4254034316714688,0.023169339720422656,0.7893749999999999,0.05537866805007141
17,kpca,scenario5_egal,0.3794581572433372,0.0964648792670996,0.9133445723684211,0.026942235495441363,0.32925339352720717,0.08134773499460315,0.4512500000000001,0.12335796488269413
18,vae_isof,scenario1_plus,0.6997562797598903,0.020481145934589915,0.9856525000000002,0.008521437649493039,0.5446054774971644,0.020512011460328713,0.9795,0.027834331319433556
19,vae_isof,scenario3_moins,0.2615384615384615,0.13381950569876686,0.9762247474747475,0.01694756308894015,0.2625,0.2890057188976639,0.09,0.11789826122551596
20,vae_isof,scenario3_plus,0.694898247448794,0.022900146133328574,0.9854444444444445,0.007925960821141548,0.5396462288231378,0.025256778166596477,0.977,0.023043437243605833
21,vae_isof,scenario1_moins,0.2311822164763341,0.07864636165757788,0.9688207070707072,0.03119900706403091,0.27976190476190477,0.25484255510247195,0.095,0.09205976319760985
22,vae_isof,scenario_cars_plus,0.5030533562977082,0.05482105667413394,0.810928947368421,0.04489581628191776,0.4373605152715922,0.04382141163486902,0.5936842105263158,0.07815036291903404
23,vae_isof,scenario4_plus,0.38153429247171633,0.10895214076582957,0.8334058333333333,0.057737178296474505,0.3205488193230517,0.08332619177878745,0.4755,0.15894889115687472
24,vae_isof,scenario3_egal,0.6829604345361205,0.09404186774231783,0.9796552631578948,0.011001356186858895,0.7015380473957762,0.08875713547316753,0.6709999999999999,0.1156676272774712
25,vae_isof,scenario5_moins,0.11285714285714285,0.02508940928060856,0.7939196654040405,0.0605028215913385,0.02780448717948718,0.05332054932998546,0.03125,0.05412658773652741
26,vae_isof,scenario2_plus,0.6997740339204157,0.03282966164121568,0.9811730555555555,0.008881744920007241,0.5504616385203799,0.03605727763042508,0.9625,0.030639027399707048
27,vae_isof,scenario4_moins,0.13718020541549955,0.02803997277765078,0.7543166035353536,0.07783043010122645,0.03253357753357753,0.057298329492903345,0.0375,0.06959705453537526
28,vae_isof,scenario4_egal,0.22514299182404054,0.10020706334482322,0.8276384210526316,0.0590082678159351,0.21556195339043213,0.09626754853057631,0.23899999999999996,0.1103585066952249
29,vae_isof,scenario_cars_egal,0.47725370430938535,0.08090448559468734,0.8588305263157896,0.037154665865377745,0.4988559536716536,0.08626898149832266,0.46100000000000013,0.08659676668328904
30,vae_isof,scenario6_moins,0.16405878140729976,0.05729191625085538,0.84994476010101,0.06485541080401416,0.060182178932178934,0.09173217877359618,0.05625,0.08361930100162283
31,vae_isof,scenario2_moins,0.20470085470085467,0.07485307628763799,0.9651666666666665,0.021874495344507482,0.23749999999999996,0.23350440157640617,0.08499999999999999,0.0792148975887743
32,vae_isof,scenario_cars_moins,0.22039072039072036,0.07046457181454234,0.8855768208399787,0.05885658386923601,0.3245614035087719,0.2675079067013492,0.08947368421052633,0.07877173445839877
33,vae_isof,scenario5_plus,0.46031747828108793,0.085447949493423,0.8752458333333333,0.0396072203899946,0.3786592126291367,0.060686742376888224,0.5925,0.13891994097320945
34,vae_isof,scenario1_egal,0.6681823720724577,0.10088364622314085,0.9797752631578946,0.010910825280896446,0.6782474294889178,0.10240210257003078,0.663,0.10977704678119193
35,vae_isof,scenario6_egal,0.2985486280617709,0.09499180202144106,0.8598978947368421,0.05605653706186654,0.28327029273562326,0.09424276435833022,0.31900000000000006,0.10128672173587218
36,vae_isof,scenario2_egal,0.8074583508049622,0.0076135499212567756,0.9779978,0.009870929741417477,0.6773960050105143,0.010959594968574316,0.9995,0.0010723805294763618
37,vae_isof,scenario6_plus,0.4832551022251678,0.06186610948344522,0.8823702777777779,0.03111003084806065,0.3939574179023917,0.0444229332127861,0.6285000000000001,0.10432041986111827
38,vae_isof,scenario5_egal,0.21880635719649555,0.09666390505824358,0.8237452631578946,0.05694161879720787,0.21044047975123145,0.09701033692571484,0.22999999999999998,0.09929753269845128
39,ae,scenario1_plus,0.7198050949258656,0.016408085441611833,0.9983702256944443,0.0007545938342479762,0.5625164938515455,0.01984975312306325,1.0,0.0
40,ae,scenario3_moins,0.3787059094751402,0.14485434377683795,0.9936987058080808,0.00419636845290347,0.41083333333333333,0.3189947317572641,0.18125,0.16990346523835234
41,ae,scenario3_plus,0.7265036452647459,0.012671392190537695,0.9983459201388889,0.0006101972123506733,0.5706350098252605,0.015623732014686042,1.0,0.0
42,ae,scenario1_moins,0.19494949494949493,0.04704206836056614,0.9895241477272727,0.0035948726269812168,0.25595238095238093,0.09697084443894367,0.1375,0.0673145600891813
43,ae,scenario_cars_plus,0.21515777065247238,0.03730521689725616,0.5675797222222224,0.047210136567012,0.20198307722850234,0.03537412460962665,0.231,0.04241462012089699
44,ae,scenario4_plus,0.6594420551664399,0.018117850079207302,0.9851440972222221,0.005425109994813499,0.49607726045569134,0.020139974776835018,0.984375,0.012421629321469882
45,ae,scenario3_egal,0.8428028438923834,0.025949681855221063,0.9957047697368422,0.0013156380977892063,0.7927573707963746,0.03328852649886898,0.9012499999999999,0.03830388361511142
46,ae,scenario5_moins,0.25504079254079254,0.10113410547363184,0.9479363952020201,0.025756938380188214,0.1675,0.21733710375052548,0.075,0.10752906583803283
47,ae,scenario2_plus,0.7229142898982183,0.017005881491877543,0.9974214409722221,0.0013258890804741215,0.5663422409529524,0.020778201662933926,1.0,0.0
48,ae,scenario4_moins,0.21716465352828995,0.06714098046786161,0.9287918244949493,0.03397346150997218,0.19666666666666666,0.19311769583454658,0.0875,0.08926785535678562
49,ae,scenario4_egal,0.5704057562054404,0.06875300240511417,0.9585945723684212,0.012452870026793676,0.5256319772076965,0.0625548012831506,0.6275,0.09045026257562772
50,ae,scenario_cars_egal,0.1393229508675008,0.043021620088477805,0.5841184210526317,0.05014358086750553,0.13628851457557625,0.0412494039265719,0.14400000000000004,0.04758150901348128
51,ae,scenario6_moins,0.3082917082917083,0.11723980798492209,0.8474352904040403,0.0920488457478489,0.36333333333333334,0.267218179687602,0.15625,0.1303540850913388
52,ae,scenario2_moins,0.25355894105894106,0.06148171886571911,0.9884075126262625,0.004562841315190474,0.1408333333333333,0.1776759691123141,0.08125,0.10661701318269988
53,ae,scenario_cars_moins,0.0967818945760122,0.012777832541944577,0.5485000000000001,0.09401995852889604,0.019426406926406924,0.040725548255724824,0.02,0.04
54,ae,scenario5_plus,0.6716106190917278,0.017370567954661985,0.9923020833333333,0.002620959455964726,0.5073006575001966,0.01960306728728816,0.994375,0.007368641326594737
55,ae,scenario1_egal,0.820649601078826,0.046044542032621046,0.994077302631579,0.0015519806912338257,0.7768981743941684,0.03662550201505377,0.8712500000000001,0.06721002529385033
56,ae,scenario6_egal,0.5397331712261673,0.06100488104867034,0.8537935855263157,0.04895967346164286,0.5009470393066049,0.05617291076176391,0.5874999999999999,0.07603453162872774
57,ae,scenario2_egal,0.8036550332454864,0.009837534708319905,0.992305625,0.002203003010807073,0.671872292972717,0.013825630571665661,1.0,0.0
58,ae,scenario6_plus,0.6027296558991792,0.027097400543588106,0.9108671875000001,0.02677576394992298,0.4644474812724864,0.021629548715304196,0.859375,0.047082872416623
59,ae,scenario5_egal,0.5960832019963294,0.0577561146035022,0.9689802631578945,0.00962443871578163,0.556218220810287,0.05009802896229289,0.645,0.07929375763576853
60,da_vae,scenario1_plus,0.712452999921676,0.022128565399815125,0.9939538888888888,0.002561150939675853,0.5551522255674426,0.026518213714953533,0.9954999999999998,0.007399324293474377
61,da_vae,scenario3_moins,0.24052851909994763,0.0965990398568,0.9924469696969698,0.004689346344193685,0.38666666666666666,0.27287563304756823,0.11000000000000001,0.09433981132056604
62,da_vae,scenario3_plus,0.7159495143297481,0.014972553359940266,0.9948888888888889,0.002401218826315497,0.559191629876904,0.01773018906398799,0.9955,0.0097339611669659
63,da_vae,scenario1_moins,0.17645815722738797,0.04028244791383658,0.9873661616161616,0.007474973976229744,0.2708333333333333,0.21225476044916716,0.07500000000000002,0.06224949798994367
64,da_vae,scenario_cars_plus,0.5744121472073227,0.036190231725063346,0.9201441666666665,0.01922801313501657,0.44918782596909834,0.029629367009973526,0.798,0.0581033561853358
65,da_vae,scenario4_plus,0.5367691594133721,0.08240605963392722,0.9150269444444445,0.04053437023813065,0.4243615851085508,0.05710791040056512,0.7329999999999999,0.13718964975536602
66,da_vae,scenario3_egal,0.8058810450320738,0.05466601089972256,0.991292105263158,0.006521401269300664,0.828830355152461,0.05941086043135261,0.7859999999999999,0.06359245238233859
67,da_vae,scenario5_moins,0.1924186924186924,0.06942791904160073,0.8803582702020203,0.05935719497551214,0.14464285714285716,0.15864519055193815,0.0875,0.08926785535678562
